incident_id,year,month,airline,manufacturer,manufacture_year,incident_type,primary_cause,is_fatal
AV000001,2002,2,Kenya Airways,De Havilland,1995,Cargo Issue,loading error,0
AV000002,1985,1,TAP Air Portugal,Boeing,2000,Engine Failure,manufacturing,0
AV000003,2008,8,American Airlines,Boeing,1990,Controlled Flight into Terrain (CFIT),crew error,1
AV000004,1997,12,ASKY Airlines,Fokker,1983,Controlled Flight into Terrain (CFIT),navigation,0
AV000005,1973,8,Air France,Boeing,1963,Icing,weather,1
AV000006,2021,13,LOT Polish Airlines,BAC/Aero,1999,Bird Strike,environmental,2
AV000007,2001,10,Mexicana de Aviación,Tupolev,1981,Loss of Control - Inflight (LOC-I),crew error,0
AV000008,2003,1,Garuda Indonesia,Fokker,1988,Loss of Control - Inflight (LOC-I),mechanical,0
AV000009,1974,11,Wizz Air,Airbus,2000,Bird Strike,wildlife,0
AV000010,1986,4,Air Astana,Sukhoi,2010,Runway Excursion,weather,0
AV000011,1983,8,Air Algérie,Cessna,1971,Windshear / Microburst,crew error,1
AV000012,2015,10,Croatia Airlines,Boeing,1995,Controlled Flight into Terrain (CFIT),navigation,0
AV000013,1995,12,LATAM Airlines,Cessna,1983,Controlled Flight into Terrain (CFIT),weather,1
AV000014,2005,6,Japan Airlines,Pilatus,1990,Loss of Control - Inflight (LOC-I),weather,0
AV000015,1986,9,Air Astana,Pilatus,1990,Runway Excursion,crew error,0
AV000016,1977,8,LATAM Airlines,Airbus,2010,Runway Incursion,crew error,0
AV000017,1990,6,Qantas,Airbus,2010,Structural Failure,fatigue,0
-,1972,10,Air France,Sukhoi,2010,Windshear / Microburst,weather,-1
AV000019,2006,5,Sunwing Airlines,Saab,2000,Gear Failure,mechanical,0
AV000020,1994,5,Croatia Airlines,Lockheed,1970,Gear Failure,mechanical,0
AV000021,2001,1,Pakistan International,Beechcraft,1989,Runway Excursion,crew error,0
AV000022,1982,9,Sabena,Sukhoi,2010,Structural Failure,maintenance,0
AV000023,2020,2,Air France,Airbus,2010,Structural Failure,manufacturing,1
AV000024,2011,7,Tarom,Boeing,1996,Structural Failure,maintenance,0
AV000025,2002,1,S7 Airlines,Boeing,1990,Fuel Exhaustion,dispatch error,0
AV000026,1976,5,Sabena,ATR,1980,Runway Incursion,crew error,0
AV000027,1987,13,SpiceJet,De Havilland,1980,Windshear / Microburst,crew error,2
AV000028,1971,6,Air Koryo,Boeing,2010,Engine Failure,maintenance,0
AV000029,1975,2,Air Arabia,Let,1970,Runway Excursion,runway condition,0
-,1996,1,TAP Air Portugal,McDonnell Douglas,1990,Engine Failure,mechanical,0
-,2000,10,Azal,ATR,2010,Engine Failure,maintenance,-1
AV000032,2020,10,SpiceJet,McDonnell Douglas,2020,Runway Excursion,runway condition,0
AV000033,1981,10,TAAG Angola Airlines,Airbus,1980,Fire / Smoke,cargo,1
AV000034,1983,4,IndiGo,ATR,2010,Loss of Control - Inflight (LOC-I),crew error,1
-,1987,4,Cebu Pacific,Boeing,1967,Cargo Issue,loading error,1
-,1976,5,Vietnam Airlines,CASA,1980,Gear Failure,maintenance,-1
AV000037,1974,6,S7 Airlines,Tupolev,1970,Fire / Smoke,mechanical,1
AV000038,1987,2,Etihad Airways,McDonnell Douglas,1990,Turbulence,crew error,0
AV000039,1977,4,Delta Air Lines,Airbus,1990,Controlled Flight into Terrain (CFIT),weather,1
AV000040,1996,1,easyJet,Boeing,1986,Turbulence,weather,-1
AV000041,1985,4,Sunwing Airlines,McDonnell Douglas,1990,Midair Collision,ATC error,1
AV000042,2006,11,Flybe,Boeing,1998,Loss of Control - Inflight (LOC-I),mechanical,0
AV000043,1997,7,Mexicana de Aviación,Dornier,1991,Runway Incursion,ATC error,0
AV000044,1980,9,Aeromexico,Boeing,1990,Controlled Flight into Terrain (CFIT),crew error,1
AV000045,2006,7,Avianca,Tupolev,1998,Turbulence,crew error,-1
AV000046,2004,10,ANA,Embraer,2000,Engine Failure,mechanical,0
AV000047,1983,12,Condor,McDonnell Douglas,1990,Icing,crew error,0
AV000048,1979,8,Southwest Airlines,Airbus,2010,Bird Strike,wildlife,0
AV000049,1996,5,Singapore Airlines,McDonnell Douglas,1990,Windshear / Microburst,weather,0
AV000050,1974,1,Aviaco,ATR,1980,Cargo Issue,loading error,0
AV000051,1976,4,Sabena,Fokker,1970,Controlled Flight into Terrain (CFIT),crew error,-1
AV000052,1970,7,United Airlines,ATR,2010,Controlled Flight into Terrain (CFIT),navigation,0
-,2003,8,Monarch Airlines,Boeing,2010,Controlled Flight into Terrain (CFIT),navigation,0
AV000054,1996,10,Korean Air,Sud Aviation,1975,Engine Failure,manufacturing,1
AV000055,1998,11,Olympic Airways,Boeing,2010,Gear Failure,maintenance,0
AV000056,2002,13,Air France,Boeing,2010,Cargo Issue,dangerous goods,2
AV000057,1986,4,Royal Air Maroc,Airbus,2010,Runway Incursion,ground vehicle,0
AV000058,1991,4,Philippine Airlines,McDonnell Douglas,1990,Gear Failure,maintenance,0
AV000059,1974,3,Ural Airlines,Cessna,1970,Runway Excursion,runway condition,0
AV000060,1973,12,Vietnam Airlines,Airbus,2010,Runway Excursion,runway condition,0
AV000061,1996,4,China Southern,Hawker,1996,Loss of Control - Inflight (LOC-I),crew error,1
AV000062,1987,2,Air Algérie,Boeing,2000,Turbulence,weather,0
AV000063,1991,10,WestJet,ATR,2010,Loss of Control - Inflight (LOC-I),weather,-1
AV000064,2001,9,China Southern,Ilyushin,1989,Controlled Flight into Terrain (CFIT),weather,0
AV000065,1994,1,Aeroflot,Boeing,1990,Engine Failure,manufacturing,0
AV000066,1990,13,IndiGo,Boeing,1990,Controlled Flight into Terrain (CFIT),crew error,2
AV000067,1990,8,Philippine Airlines,Boeing,1990,Controlled Flight into Terrain (CFIT),weather,0
AV000068,1980,4,China Eastern,Ilyushin,1970,Loss of Control - Inflight (LOC-I),weather,1
AV000069,1971,1,China Eastern,Embraer,2000,Gear Failure,maintenance,0
AV000070,1985,6,Nepal Airlines,Boeing,1990,Controlled Flight into Terrain (CFIT),weather,1
AV000071,1977,12,Vietnam Airlines,Boeing,1990,Runway Excursion,weather,0
AV000072,1984,8,Sabena,Embraer,2000,Runway Excursion,crew error,0
AV000073,2008,10,GOL Airlines,De Havilland,1999,Controlled Flight into Terrain (CFIT),weather,0
AV000074,1978,5,Aviaco,Fokker,1980,Runway Incursion,ATC error,0
AV000075,1972,8,Monarch Airlines,Airbus,2010,Runway Excursion,weather,0
-,1979,13,China Southern,Saab,1980,Turbulence,crew error,2
AV000077,1980,1,TAAG Angola Airlines,De Havilland,1980,Loss of Control - Inflight (LOC-I),weather,-1
AV000078,1995,4,TWA,Beechcraft,1980,Runway Incursion,ground vehicle,0
AV000079,1990,13,Malév,Fokker,1981,Fire / Smoke,mechanical,2
AV000080,2002,3,Etihad Airways,Embraer,2000,Controlled Flight into Terrain (CFIT),crew error,-1
AV000081,1996,9,China Eastern,Boeing,1990,Sabotage / Terrorism,terrorism,0
AV000082,1984,3,Philippine Airlines,Boeing,2010,Runway Excursion,weather,-1
AV000083,2005,5,TWA,Saab,2005,Sabotage / Terrorism,terrorism,0
AV000084,1975,8,EgyptAir,Beechcraft,1980,Engine Failure,mechanical,0
AV000085,1970,10,KLM,Lockheed,1970,Runway Incursion,ground vehicle,-1
AV000086,1973,7,Kenya Airways,Boeing,2010,Loss of Control - Inflight (LOC-I),crew error,1
AV000087,1998,7,Japan Airlines,Airbus,1990,Loss of Control - Inflight (LOC-I),mechanical,0
AV000088,1986,9,Korean Air,Tupolev,1970,Loss of Control - Inflight (LOC-I),mechanical,1
AV000089,1975,1,Ryanair,Piper,1970,Loss of Control - Inflight (LOC-I),weather,0
AV000090,1988,10,Philippine Airlines,Antonov,1983,Controlled Flight into Terrain (CFIT),navigation,1
AV000091,1975,1,Air Algérie,ATR,2010,Runway Incursion,ground vehicle,0
-,1997,2,ASKY Airlines,Boeing,1990,Windshear / Microburst,crew error,0
AV000093,1986,10,Transavia,ATR,1980,Bird Strike,environmental,0
AV000094,1983,5,Air China,McDonnell Douglas,1980,Fire / Smoke,cargo,0
AV000095,1980,1,American Airlines,Bombardier,1990,Engine Failure,manufacturing,0
AV000096,1994,5,Croatia Airlines,Hawker,1982,Fire / Smoke,cargo,0
AV000097,1982,11,Mexicana de Aviación,Convair,1964,Structural Failure,maintenance,1
AV000098,1973,10,Air Transat,De Havilland,1980,Gear Failure,maintenance,0
AV000099,1974,12,South African Airways,Hawker,1960,Bird Strike,wildlife,0
-,2019,13,AirAsia,Airbus,2010,Runway Excursion,weather,2
AV000101,2013,3,Air Transat,Tupolev,1996,Structural Failure,manufacturing,0
AV000102,1997,2,Aeromexico,Boeing,1980,Turbulence,weather,-1
AV000103,1979,1,Asiana Airlines,Bombardier,2000,Loss of Control - Inflight (LOC-I),mechanical,1
-,2020,6,Emirates,Douglas,1999,Engine Failure,maintenance,-1
AV000105,2002,7,Royal Air Maroc,Bombardier,2000,Runway Incursion,ground vehicle,0
AV000106,1998,8,Spirit Airlines,ATR,2010,Runway Excursion,weather,-1
AV000107,1986,5,British Airways,Fokker,1986,Engine Failure,maintenance,0
AV000108,1979,13,MIAT Mongolian,Airbus,1990,Loss of Control - Inflight (LOC-I),mechanical,2
AV000109,1973,4,Royal Air Maroc,Ilyushin,1970,Fire / Smoke,electrical,0
AV000110,2012,2,Azal,Boeing,2010,Loss of Control - Inflight (LOC-I),mechanical,0
AV000111,1986,9,Delta Air Lines,BAC/Aero,1970,Structural Failure,fatigue,0
AV000112,1976,2,Eastern Air Lines,Embraer,2000,Bird Strike,wildlife,0
AV000113,1980,8,Vietjet,Airbus,1990,Windshear / Microburst,weather,0
AV000114,1991,3,easyJet,Boeing,2010,Fire / Smoke,electrical,0
AV000115,1976,1,Sabena,McDonnell Douglas,1990,Loss of Control - Inflight (LOC-I),mechanical,1
AV000116,2008,10,Asiana Airlines,ATR,2010,Loss of Control - Inflight (LOC-I),mechanical,0
AV000117,2001,6,KLM,Boeing,2010,Loss of Control - Inflight (LOC-I),crew error,-1
AV000118,1998,12,Olympic Airways,ATR,1985,Cargo Issue,dangerous goods,0
AV000119,1985,9,Swiss International,Boeing,1990,Windshear / Microburst,crew error,1
-,1994,3,Eastern Air Lines,Pilatus,1990,Engine Failure,maintenance,-1
AV000121,1992,12,Air China,Embraer,2000,Bird Strike,environmental,0
-,1995,7,Eastern Air Lines,COMAC,2020,Engine Failure,mechanical,0
AV000123,1972,13,TUI Airways,Embraer,2000,Runway Excursion,crew error,2
AV000124,1985,7,SriLankan Airlines,Sud Aviation,1971,Loss of Control - Inflight (LOC-I),crew error,0
AV000125,1971,6,Pan American World Airways,Airbus,2010,Turbulence,weather,0
AV000126,1988,8,Japan Airlines,Vickers,1968,Fuel Exhaustion,crew error,-1
AV000127,1981,5,Batik Air,Boeing,1990,Loss of Control - Inflight (LOC-I),weather,0
-,1974,6,Air Koryo,ATR,1980,Controlled Flight into Terrain (CFIT),crew error,1
AV000129,1973,9,TAAG Angola Airlines,Fokker,1970,Engine Failure,maintenance,0
AV000130,1992,1,Sabena,Pilatus,1990,Structural Failure,fatigue,1
AV000131,1975,13,United Airlines,Lockheed,1970,Fire / Smoke,mechanical,-1
AV000132,2015,6,Flydubai,Airbus,1998,Sabotage / Terrorism,security breach,0
AV000133,1991,6,Philippine Airlines,Sud Aviation,1990,Controlled Flight into Terrain (CFIT),weather,0
AV000134,1982,5,Ural Airlines,Airbus,1990,Loss of Control - Inflight (LOC-I),mechanical,1
-,1992,1,Olympic Airways,ATR,1985,Bird Strike,wildlife,0
AV000136,1970,3,Air Berlin,Airbus,2000,Structural Failure,fatigue,1
AV000137,2019,5,KLM,Fokker,2011,Structural Failure,manufacturing,0
AV000138,1987,7,Qantas,Embraer,2000,Runway Excursion,weather,0
AV000139,2002,6,Air India,Bombardier,1993,Gear Failure,mechanical,-1
-,1972,9,Allegiant Air,Boeing,1970,Structural Failure,maintenance,0
AV000141,1987,12,Vietjet,Hawker,1977,Runway Excursion,crew error,0
AV000142,1987,2,Ansett Australia,Lockheed,1970,Engine Failure,maintenance,0
AV000143,2016,11,LATAM Airlines,Hawker,2002,Structural Failure,manufacturing,0
AV000144,1991,9,Cebu Pacific,Boeing,1990,Controlled Flight into Terrain (CFIT),weather,0
AV000145,1987,13,Ryanair,Pilatus,1990,Loss of Control - Inflight (LOC-I),weather,2
AV000146,1979,5,Alitalia,De Havilland,1970,Loss of Control - Inflight (LOC-I),weather,1
-,1981,11,TUI Airways,ATR,2010,Loss of Control - Inflight (LOC-I),weather,0
-,1989,1,Kenya Airways,Boeing,1972,Runway Excursion,weather,0
AV000149,1985,13,Sunwing Airlines,Boeing,1981,Runway Incursion,ATC error,2
AV000150,1970,4,S7 Airlines,Boeing,1980,Loss of Control - Inflight (LOC-I),weather,1
-,2006,12,Ansett Australia,ATR,1994,Loss of Control - Inflight (LOC-I),mechanical,-1
AV000152,2011,7,Swiss International,McDonnell Douglas,2009,Runway Excursion,weather,-1
AV000153,1974,11,Southwest Airlines,Fokker,1990,Engine Failure,mechanical,0
AV000154,1990,6,Air Astana,Airbus,2000,Controlled Flight into Terrain (CFIT),crew error,1
AV000155,1973,6,Vietjet,McDonnell Douglas,1970,Loss of Control - Inflight (LOC-I),mechanical,1
AV000156,1996,5,Swissair,Hawker,1982,Runway Excursion,weather,0
AV000157,1979,3,TWA,Bombardier,2000,Loss of Control - Inflight (LOC-I),mechanical,1
AV000158,1995,13,British Airways,BAC,1989,Runway Excursion,crew error,2
